"etag_id";"etagt_id";"etagt_language";"etagt_text";"etag_parent_id";"etag_weight";"etag_type"
"876";"865";"fr";"inférieur (DIII-VF-DII)";"867";"432";"Associé"
"877";"867";"fr";"postéro-basal (V7-V8-V9)";"867";"433";"Associé"
"878";"869";"fr";"droite (V3R-V4R)";"867";"434";"Associé"
"879";"871";"fr";"Sus-décalage ST évocateur de péricardite/myocardite";"866";"435";"Normal"
"881";"873";"fr";"antérieur (V1-V6)";"879";"436";"Associé"
"882";"875";"fr";"septal (V1-V2)";"879";"437";"Associé"
"883";"877";"fr";"apical (V3-V4)";"879";"438";"Associé"
"884";"879";"fr";"latéral bas (V5-V6)";"879";"439";"Associé"
"885";"881";"fr";"latéral haut (DI-VL)";"879";"440";"Associé"
"886";"883";"fr";"inférieur (DIII-VF-DII)";"879";"441";"Associé"
"887";"885";"fr";"postéro-basal (V7-V8-V9)";"879";"442";"Associé"
"888";"887";"fr";"droite (V3R-V4R)";"879";"443";"Associé"
"889";"889";"fr";"Sus-décalage ST évocateur de Brugada";"866";"444";"Normal"
"890";"891";"fr";"Sus-décalage ST typique de Brugada (Point J surélevé avec Sus-décalage ST >= 2 mm en V1 ou V2 en dôme ou triangle)";"889";"445";"Normal"
"891";"893";"fr";"Sus-décalage ST atypique en V1";"889";"446";"Normal"
"892";"895";"fr";"Sus-décalage ST évocateur de Takotsubo";"866";"447";"Normal"
"893";"897";"fr";"antérieur (V1-V6)";"892";"448";"Associé"
"894";"899";"fr";"septal (V1-V2)";"892";"449";"Associé"
"895";"901";"fr";"apical (V3-V4)";"892";"450";"Associé"
"896";"903";"fr";"latéral bas (V5-V6)";"892";"451";"Associé"
"897";"905";"fr";"latéral haut (DI-VL)";"892";"452";"Associé"
"898";"907";"fr";"inférieur (DIII-VF-DII)";"892";"453";"Associé"
"899";"909";"fr";"postéro-basal (V7-V8-V9)";"892";"454";"Associé"
"900";"911";"fr";"droite (V3R-V4R)";"892";"455";"Associé"
"901";"913";"fr";"Sus-décalage ST évocateur d'anévrysme ventriculaire";"866";"456";"Normal"
"902";"915";"fr";"antérieur (V1-V6)";"901";"457";"Associé"
"903";"917";"fr";"septal (V1-V2)";"901";"458";"Associé"
"904";"919";"fr";"apical (V3-V4)";"901";"459";"Associé"
"905";"921";"fr";"latéral bas (V5-V6)";"901";"460";"Associé"
"906";"923";"fr";"latéral haut (DI-VL)";"901";"461";"Associé"
"907";"925";"fr";"inférieur (DIII-VF-DII)";"901";"462";"Associé"
"908";"927";"fr";"postéro-basal (V7-V8-V9)";"901";"463";"Associé"
"909";"929";"fr";"droite (V3R-V4R)";"901";"464";"Associé"
"913";"931";"fr";"Sous-décalage ST pathologique";"856";"465";"Normal"
"3321";"933";"fr";"diffus";"913";"466";"Associé"
"3322";"935";"fr";"antérieur";"913";"467";"Associé"
"3323";"937";"fr";"septal (V1-V2)";"913";"468";"Associé"
"3324";"939";"fr";"apical (V3-V4)";"913";"469";"Associé"
"3325";"941";"fr";"latéral bas (V5-V6)";"913";"470";"Associé"
"3326";"943";"fr";"latéral haut (DI-VL)";"913";"471";"Associé"
"3327";"945";"fr";"inférieur (DIII-VF-DII)";"913";"472";"Associé"
"3328";"947";"fr";"basal (V7-V8-V9)";"913";"473";"Associé"
"3329";"949";"fr";"droite (V3R V4R)";"913";"474";"Associé"
"914";"951";"fr";"Sous-décalage ST évocateur d'une pathologie coronaire (SCA)";"913";"475";"Normal"
"915";"953";"fr";"diffus";"914";"476";"Associé"
"916";"955";"fr";"antérieur";"914";"477";"Associé"
"917";"957";"fr";"septal (V1-V2)";"914";"478";"Associé"
"918";"959";"fr";"apical (V3-V4)";"914";"479";"Associé"
"919";"961";"fr";"latéral bas (V5-V6)";"914";"480";"Associé"
"920";"963";"fr";"latéral haut (DI-VL)";"914";"481";"Associé"
"921";"965";"fr";"inférieur (DIII-VF-DII)";"914";"482";"Associé"
"922";"967";"fr";"basal (V7-V8-V9)";"914";"483";"Associé"
"923";"969";"fr";"droite (V3R V4R)";"914";"484";"Associé"
"924";"971";"fr";"Sous-décalage ST évocateur d'une ischémie fonctionnelle";"913";"485";"Normal"
"926";"973";"fr";"diffus";"924";"486";"Associé"
"927";"975";"fr";"antérieur";"924";"487";"Associé"
"928";"977";"fr";"septal (V1-V2)";"924";"488";"Associé"
"929";"979";"fr";"apical (V3-V4)";"924";"489";"Associé"
"930";"981";"fr";"latéral bas (V5-V6)";"924";"490";"Associé"
"931";"983";"fr";"latéral haut (DI-VL)";"924";"491";"Associé"
"932";"985";"fr";"inférieur (DIII-VF-DII)";"924";"492";"Associé"
"933";"987";"fr";"basal (V7-V8-V9)";"924";"493";"Associé"
"934";"989";"fr";"droite (V3R V4R)";"924";"494";"Associé"
"935";"991";"fr";"Sous-décalage ST secondaire à une hypertrophie ventriculaire";"913";"495";"Normal"
"936";"993";"fr";"Sous-décalage ST évocateur d'une anomalie métabolique";"913";"496";"Normal"
"939";"995";"fr";"diffus";"936";"497";"Associé"
"940";"997";"fr";"Sous-décalage ST évocateur d'origine médicamenteuse";"913";"498";"Normal"
"944";"999";"fr";"diffus";"940";"499";"Associé"
"945";"1001";"fr";"Sous-décalage ST miroir d'un ST+";"913";"500";"Normal"
"946";"1003";"fr";"antérieur";"945";"501";"Associé"
"947";"1005";"fr";"septal (V1-V2)";"945";"502";"Associé"
"948";"1007";"fr";"apical (V3-V4)";"945";"503";"Associé"
"949";"1009";"fr";"latéral bas (V5-V6)";"945";"504";"Associé"
"950";"1011";"fr";"latéral haut (DI-VL)";"945";"505";"Associé"
"951";"1013";"fr";"inférieur (DIII-VF-DII)";"945";"506";"Associé"
"952";"1015";"fr";"basal (V7-V8-V9)";"945";"507";"Associé"
"953";"1017";"fr";"droite (V3R V4R)";"945";"508";"Associé"
"954";"1019";"fr";"Sous-décalage ST évocateur d'une péricardite/myocardite";"913";"509";"Normal"
"955";"1021";"fr";"antérieur";"954";"510";"Associé"
"956";"1023";"fr";"septal (V1-V2)";"954";"511";"Associé"
"957";"1025";"fr";"apical (V3-V4)";"954";"512";"Associé"
"958";"1027";"fr";"latéral bas (V5-V6)";"954";"513";"Associé"
"959";"1029";"fr";"latéral haut (DI-VL)";"954";"514";"Associé"
"960";"1031";"fr";"inférieur (DIII-VF-DII)";"954";"515";"Associé"
"961";"1033";"fr";"basal (V7-V8-V9)";"954";"516";"Associé"
"962";"1035";"fr";"droite (V3R V4R)";"954";"517";"Associé"
"2045";"1037";"fr";"Anomalie de repolarisation secondaire à une tachycardie";"856";"518";"Normal"
"964";"1039";"fr";"Anomalie de repolarisation secondaire à un QRS large (discordance appropriée)";"856";"519";"Normal"
"963";"1041";"fr";"Anomalie de repolarisation avec QRS large évocatrices d'ischémie myocardique (SCA)";"856";"520";"Normal"
"965";"1043";"fr";"Anomalie de l'Onde T";"0";"521";"Catégorie"
"966";"1045";"fr";"Onde T inversée (discordante avec la polarité du QRS)";"965";"522";"Normal"
"1007";"1047";"fr";"antérieure étendue";"966";"523";"Associé"
"1008";"1049";"fr";"septale (V1-V2)";"966";"524";"Associé"
"1009";"1051";"fr";"apicale (V3-V4)";"966";"525";"Associé"
"1010";"1053";"fr";"latérale (V5-V6 Di aVL)";"966";"526";"Associé"
